created_at,entry_id,field1,field2
2025-12-09 07:54:28 UTC,19748474,0.000000,2.000000
2025-12-09 07:54:44 UTC,19748475,0.000000,0.000000
2025-12-09 07:55:00 UTC,19748476,1.000000,1.000000
2025-12-09 07:55:15 UTC,19748477,8.000000,4.000000
2025-12-09 07:55:30 UTC,19748478,0.000000,0.000000
2025-12-09 07:55:45 UTC,19748479,0.000000,0.000000
2025-12-09 07:56:00 UTC,19748480,0.000000,0.000000
2025-12-09 07:56:15 UTC,19748481,4.000000,2.000000
2025-12-09 07:56:31 UTC,19748482,0.000000,0.000000
2025-12-09 07:56:46 UTC,19748483,0.000000,0.000000
2025-12-09 07:57:02 UTC,19748484,0.000000,0.000000
2025-12-09 07:57:17 UTC,19748485,2.000000,3.000000
2025-12-09 07:57:32 UTC,19748486,0.000000,8.000000
2025-12-09 07:57:48 UTC,19748487,0.000000,6.000000
2025-12-09 07:58:03 UTC,19748488,0.000000,11.000000
2025-12-09 07:58:18 UTC,19748489,1.000000,5.000000
2025-12-09 07:58:34 UTC,19748490,2.000000,0.000000
2025-12-09 07:58:49 UTC,19748491,7.000000,1.000000
2025-12-09 07:59:05 UTC,19748492,2.000000,4.000000
2025-12-09 07:59:21 UTC,19748493,0.000000,0.000000
2025-12-09 07:59:36 UTC,19748494,0.000000,0.000000
2025-12-09 07:59:51 UTC,19748495,3.000000,0.000000
2025-12-09 08:00:07 UTC,19748496,0.000000,0.000000
2025-12-09 08:00:22 UTC,19748497,0.000000,0.000000
2025-12-09 08:00:38 UTC,19748498,0.000000,0.000000
2025-12-09 08:00:53 UTC,19748499,0.000000,0.000000
2025-12-09 08:01:09 UTC,19748500,3.000000,1.000000
2025-12-09 08:01:24 UTC,19748501,2.000000,0.000000
2025-12-09 08:01:40 UTC,19748502,7.000000,3.000000
2025-12-09 08:01:55 UTC,19748503,5.000000,3.000000
2025-12-09 08:02:10 UTC,19748504,7.000000,0.000000
2025-12-09 08:02:26 UTC,19748505,5.000000,0.000000
2025-12-09 08:02:42 UTC,19748506,0.000000,0.000000
2025-12-09 08:02:58 UTC,19748507,0.000000,2.000000
2025-12-09 08:03:14 UTC,19748508,0.000000,0.000000
2025-12-09 08:03:29 UTC,19748509,0.000000,0.000000
2025-12-09 08:03:45 UTC,19748510,0.000000,8.000000
2025-12-09 08:04:00 UTC,19748511,0.000000,0.000000
2025-12-09 08:04:16 UTC,19748512,0.000000,0.000000
2025-12-09 08:04:31 UTC,19748513,0.000000,0.000000
2025-12-09 08:04:46 UTC,19748514,0.000000,0.000000
2025-12-09 08:05:02 UTC,19748515,0.000000,0.000000
2025-12-09 08:05:18 UTC,19748516,0.000000,0.000000
2025-12-09 08:05:34 UTC,19748517,0.000000,0.000000
2025-12-09 08:05:50 UTC,19748518,5.000000,0.000000
2025-12-09 08:06:06 UTC,19748519,0.000000,0.000000
2025-12-09 08:06:21 UTC,19748520,0.000000,0.000000
2025-12-09 08:06:36 UTC,19748521,0.000000,0.000000
2025-12-09 08:06:51 UTC,19748522,0.000000,0.000000
2025-12-09 08:07:07 UTC,19748523,0.000000,0.000000
2025-12-09 08:07:22 UTC,19748524,0.000000,0.000000
2025-12-09 08:07:38 UTC,19748525,0.000000,2.000000
2025-12-09 08:07:53 UTC,19748526,1.000000,4.000000
2025-12-09 08:08:09 UTC,19748527,0.000000,3.000000
2025-12-09 08:08:25 UTC,19748528,0.000000,0.000000
2025-12-09 08:08:40 UTC,19748529,0.000000,0.000000
2025-12-09 08:08:56 UTC,19748530,0.000000,4.000000
2025-12-09 08:09:11 UTC,19748531,0.000000,0.000000
2025-12-09 08:09:27 UTC,19748532,0.000000,0.000000
2025-12-09 08:09:43 UTC,19748533,0.000000,3.000000
2025-12-09 08:09:58 UTC,19748534,1.000000,1.000000
2025-12-09 08:10:14 UTC,19748535,7.000000,8.000000
2025-12-09 08:10:30 UTC,19748536,5.000000,5.000000
2025-12-09 08:10:45 UTC,19748537,3.000000,0.000000
2025-12-09 08:11:00 UTC,19748538,0.000000,0.000000
2025-12-09 08:11:15 UTC,19748539,0.000000,0.000000
2025-12-09 08:11:30 UTC,19748540,0.000000,0.000000
2025-12-09 08:11:46 UTC,19748541,0.000000,0.000000
2025-12-09 08:12:02 UTC,19748542,0.000000,1.000000
2025-12-09 08:12:18 UTC,19748543,0.000000,3.000000
2025-12-09 08:12:34 UTC,19748544,0.000000,0.000000
2025-12-09 08:12:50 UTC,19748545,0.000000,0.000000
2025-12-09 08:13:05 UTC,19748546,0.000000,1.000000
2025-12-09 08:13:21 UTC,19748547,2.000000,6.000000
2025-12-09 08:13:37 UTC,19748548,0.000000,0.000000
2025-12-09 08:13:52 UTC,19748549,0.000000,2.000000
2025-12-09 08:14:07 UTC,19748550,5.000000,2.000000
2025-12-09 08:14:22 UTC,19748551,0.000000,0.000000
2025-12-09 08:14:38 UTC,19748552,0.000000,0.000000
2025-12-09 08:14:53 UTC,19748553,0.000000,0.000000
2025-12-09 08:15:09 UTC,19748554,0.000000,0.000000
2025-12-09 08:15:24 UTC,19748555,0.000000,0.000000
2025-12-09 08:15:40 UTC,19748556,0.000000,9.000000
2025-12-09 08:15:55 UTC,19748557,3.000000,12.000000
2025-12-09 08:16:11 UTC,19748558,0.000000,11.000000
2025-12-09 08:16:26 UTC,19748559,0.000000,18.000000
2025-12-09 08:16:41 UTC,19748560,2.000000,18.000000
2025-12-09 08:16:57 UTC,19748561,0.000000,9.000000
2025-12-09 08:17:12 UTC,19748562,0.000000,6.000000
2025-12-09 08:17:28 UTC,19748563,0.000000,1.000000
2025-12-09 08:17:43 UTC,19748564,0.000000,7.000000
2025-12-09 08:17:59 UTC,19748565,0.000000,8.000000
2025-12-09 08:18:14 UTC,19748566,1.000000,7.000000
2025-12-09 08:18:29 UTC,19748567,0.000000,6.000000
2025-12-09 08:18:44 UTC,19748568,0.000000,10.000000
2025-12-09 08:19:00 UTC,19748569,2.000000,0.000000
2025-12-09 08:19:15 UTC,19748570,0.000000,0.000000
2025-12-09 08:19:31 UTC,19748571,3.000000,5.000000
2025-12-09 08:19:47 UTC,19748572,0.000000,0.000000
2025-12-09 08:20:02 UTC,19748573,2.000000,2.000000
